"Package","Class Name","TCC value"
"org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator",,
"org.apache.commons.collections4.map.AbstractIterableMap","AbstractIterableMap","0/0"
"org.apache.commons.collections4.map.AbstractLinkedMap","AbstractLinkedMap","36/153"
"org.apache.commons.collections4.map.AbstractMapDecorator","AbstractMapDecorator","0/120"
"org.apache.commons.collections4.map.AbstractOrderedMapDecorator","AbstractOrderedMapDecorator","0/15"
"org.apache.commons.collections4.map.AbstractReferenceMap","ReferenceStrength","9/0"
"org.apache.commons.collections4.map.AbstractSortedMapDecorator","AbstractSortedMapDecorator","0/45"
"org.apache.commons.collections4.map.CaseInsensitiveMap","CaseInsensitiveMap","0/6"
"org.apache.commons.collections4.map.CompositeMap","MapMutator","0/3"
"org.apache.commons.collections4.map.DefaultedMap","DefaultedMap","0/15"
"org.apache.commons.collections4.map.EntrySetToMapIteratorAdapter","EntrySetToMapIteratorAdapter","8/28"
"org.apache.commons.collections4.map.FixedSizeMap","FixedSizeMap","0/66"
"org.apache.commons.collections4.map.FixedSizeSortedMap","FixedSizeSortedMap","0/120"
"org.apache.commons.collections4.map.Flat3Map","Flat3Map","153/210"
"org.apache.commons.collections4.map.HashedMap","HashedMap","0/3"
"org.apache.commons.collections4.map.LazyMap","LazyMap","1/10"
"org.apache.commons.collections4.map.LazySortedMap","LazySortedMap","0/36"
"org.apache.commons.collections4.map.LinkedMap","LinkedMap","0/28"
"org.apache.commons.collections4.map.ListOrderedMap","ListOrderedMap","78/325"
"org.apache.commons.collections4.map.LRUMap","LRUMap","16/105"
"org.apache.commons.collections4.map.MultiKeyMap","MultiKeyMap","0/666"
"org.apache.commons.collections4.map.MultiValueMap","MultiValueMap","1/190"
"org.apache.commons.collections4.map.PassiveExpiringMap","ExpirationPolicy","0/0"
"org.apache.commons.collections4.map.PredicatedMap","PredicatedMap","6/28"
"org.apache.commons.collections4.map.PredicatedSortedMap","PredicatedSortedMap","0/28"
"org.apache.commons.collections4.map.ReferenceIdentityMap","ReferenceIdentityMap","0/15"
"org.apache.commons.collections4.map.ReferenceMap","ReferenceMap","0/1"
"org.apache.commons.collections4.map.SingletonMap","SingletonMap","29/378"
"org.apache.commons.collections4.map.StaticBucketMap","StaticBucketMap","45/136"
"org.apache.commons.collections4.map.TransformedMap","TransformedMap","12/55"
"org.apache.commons.collections4.map.TransformedSortedMap","TransformedSortedMap","0/36"
"org.apache.commons.collections4.map.UnmodifiableEntrySet","UnmodifiableEntrySet","0/55"
"org.apache.commons.collections4.map.UnmodifiableMap","UnmodifiableMap","0/55"
"org.apache.commons.collections4.map.UnmodifiableOrderedMap","UnmodifiableOrderedMap","0/55"
"org.apache.commons.collections4.map.UnmodifiableSortedMap","UnmodifiableSortedMap","0/120"
"org.apache.commons.collections4.MapIterator","MapIterator","0/15"
"org.apache.commons.collections4.MapUtils","MapUtils","0/4278"
"org.apache.commons.collections4.multimap.AbstractListValuedMap","AbstractListValuedMap","0/10"
"org.apache.commons.collections4.multimap.AbstractMultiValuedMap","AbstractMultiValuedMap","10/378"
"org.apache.commons.collections4.multimap.AbstractMultiValuedMapDecorator","AbstractMultiValuedMapDecorator","1/253"
"org.apache.commons.collections4.multimap.AbstractSetValuedMap","AbstractSetValuedMap","0/10"
"org.apache.commons.collections4.multimap.ArrayListValuedHashMap","ArrayListValuedHashMap","0/6"
"org.apache.commons.collections4.multimap.HashSetValuedHashMap","HashSetValuedHashMap","0/3"
"org.apache.commons.collections4.multimap.TransformedMultiValuedMap","TransformedMultiValuedMap","5/28"
"org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMap","UnmodifiableMultiValuedMap","0/105"
"org.apache.commons.collections4.MultiMap","MultiMap","0/21"
"org.apache.commons.collections4.MultiMapUtils","MultiMapUtils","1/55"
"org.apache.commons.collections4.multiset.AbstractMapMultiSet","AbstractMapMultiSet","110/171"
"org.apache.commons.collections4.multiset.AbstractMultiSet","AbstractMultiSet","0/253"
"org.apache.commons.collections4.multiset.AbstractMultiSetDecorator","AbstractMultiSetDecorator","0/36"
"org.apache.commons.collections4.multiset.HashMultiSet","HashMultiSet","0/1"
"org.apache.commons.collections4.multiset.PredicatedMultiSet","PredicatedMultiSet","0/45"
"org.apache.commons.collections4.multiset.SynchronizedMultiSet","SynchronizedMultiSet","0/45"
"org.apache.commons.collections4.multiset.UnmodifiableMultiSet","UnmodifiableMultiSet","0/120"
"org.apache.commons.collections4.MultiSet","MultiSet","0/105"
"org.apache.commons.collections4.MultiSetUtils","MultiSetUtils","0/6"
"org.apache.commons.collections4.MultiValuedMap","MultiValuedMap","0/171"
"org.apache.commons.collections4.OrderedBidiMap","OrderedBidiMap","0/0"
"org.apache.commons.collections4.OrderedIterator","OrderedIterator","0/1"
"org.apache.commons.collections4.OrderedMap","OrderedMap","0/10"
"org.apache.commons.collections4.OrderedMapIterator","OrderedMapIterator","0/1"
"org.apache.commons.collections4.Predicate","Predicate","0/0"
"org.apache.commons.collections4.PredicateUtils","PredicateUtils","0/406"
"org.apache.commons.collections4.properties.AbstractPropertiesFactory","PropertyFormat","0/0"
"org.apache.commons.collections4.properties.PropertiesFactory","PropertiesFactory","0/0"
"org.apache.commons.collections4.properties.SortedProperties","SortedProperties","0/3"
"org.apache.commons.collections4.properties.SortedPropertiesFactory","SortedPropertiesFactory","0/0"
"org.apache.commons.collections4.Put","Put","0/3"
"org.apache.commons.collections4.queue.AbstractQueueDecorator","AbstractQueueDecorator","0/15"
"org.apache.commons.collections4.queue.CircularFifoQueue","CircularFifoQueue","58/153"
"org.apache.commons.collections4.queue.PredicatedQueue","PredicatedQueue","0/21"
"org.apache.commons.collections4.queue.SynchronizedQueue","SynchronizedQueue","0/36"
"org.apache.commons.collections4.queue.TransformedQueue","TransformedQueue","0/28"
"org.apache.commons.collections4.queue.UnmodifiableQueue","UnmodifiableQueue","0/91"
"org.apache.commons.collections4.QueueUtils","QueueUtils","0/10"
"org.apache.commons.collections4.ResettableIterator","ResettableIterator","0/0"
"org.apache.commons.collections4.ResettableListIterator","ResettableListIterator","0/0"
"org.apache.commons.collections4.sequence.CommandVisitor","CommandVisitor","0/3"
"org.apache.commons.collections4.sequence.DeleteCommand","DeleteCommand","0/0"
"org.apache.commons.collections4.sequence.EditCommand","EditCommand","0/1"
"org.apache.commons.collections4.sequence.EditScript","EditScript","2/15"
"org.apache.commons.collections4.sequence.InsertCommand","InsertCommand","0/0"
"org.apache.commons.collections4.sequence.KeepCommand","KeepCommand","0/0"
"org.apache.commons.collections4.sequence.ReplacementsFinder","ReplacementsFinder","2/3"
"org.apache.commons.collections4.sequence.ReplacementsHandler","ReplacementsHandler","0/0"
"org.apache.commons.collections4.sequence.SequencesComparator","SequencesComparator","6/6"
"org.apache.commons.collections4.set.AbstractNavigableSetDecorator","AbstractNavigableSetDecorator","0/66"
"org.apache.commons.collections4.set.AbstractSerializableSetDecorator","AbstractSerializableSetDecorator","0/1"
"org.apache.commons.collections4.set.AbstractSetDecorator","AbstractSetDecorator","0/3"
"org.apache.commons.collections4.set.AbstractSortedSetDecorator","AbstractSortedSetDecorator","0/21"
"org.apache.commons.collections4.set.CompositeSet","SetMutator","0/3"
"org.apache.commons.collections4.set.ListOrderedSet","ListOrderedSet","66/190"
"org.apache.commons.collections4.set.MapBackedSet","MapBackedSet","120/153"
"org.apache.commons.collections4.set.PredicatedNavigableSet","PredicatedNavigableSet","0/78"
"org.apache.commons.collections4.set.PredicatedSet","PredicatedSet","0/6"
"org.apache.commons.collections4.set.PredicatedSortedSet","PredicatedSortedSet","0/28"
"org.apache.commons.collections4.set.TransformedNavigableSet","TransformedNavigableSet","0/91"
"org.apache.commons.collections4.set.TransformedSet","TransformedSet","0/6"
"org.apache.commons.collections4.set.TransformedSortedSet","TransformedSortedSet","0/36"
"org.apache.commons.collections4.set.UnmodifiableNavigableSet","UnmodifiableNavigableSet","0/210"
"org.apache.commons.collections4.set.UnmodifiableSet","UnmodifiableSet","0/36"
"org.apache.commons.collections4.set.UnmodifiableSortedSet","UnmodifiableSortedSet","0/91"
"org.apache.commons.collections4.SetUtils","SetView","0/10"
"org.apache.commons.collections4.SetValuedMap","SetValuedMap","0/1"
"org.apache.commons.collections4.SortedBag","SortedBag","0/3"
"org.apache.commons.collections4.SortedBidiMap","SortedBidiMap","0/1"
"org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator","AbstractIterableGetMapDecorator","0/91"
"org.apache.commons.collections4.splitmap.TransformedSplitMap","TransformedSplitMap","4/45"
"org.apache.commons.collections4.SplitMapUtils","SplitMapUtils","0/1"
"org.apache.commons.collections4.Transformer","Transformer","0/0"
"org.apache.commons.collections4.TransformerUtils","TransformerUtils","0/253"
"org.apache.commons.collections4.trie.AbstractBitwiseTrie","AbstractBitwiseTrie","15/36"
"org.apache.commons.collections4.trie.AbstractPatriciaTrie",,
"org.apache.commons.collections4.trie.analyzer.StringKeyAnalyzer","StringKeyAnalyzer","10/15"
"org.apache.commons.collections4.trie.KeyAnalyzer","KeyAnalyzer","0/45"
"org.apache.commons.collections4.trie.PatriciaTrie","PatriciaTrie","0/0"
"org.apache.commons.collections4.trie.UnmodifiableTrie","UnmodifiableTrie","210/325"
"org.apache.commons.collections4.Trie","Trie","0/0"
"org.apache.commons.collections4.TrieUtils","TrieUtils","0/0"
"org.apache.commons.collections4.Unmodifiable","Unmodifiable","0/0"
"org.apache.commons.collections4.AbstractArrayListTest","AbstractArrayListTest","0/3"
"org.apache.commons.collections4.AbstractLinkedListTest","AbstractLinkedListTest","0/55"
"org.apache.commons.collections4.AbstractObjectTest","AbstractObjectTest","0/276"
"org.apache.commons.collections4.AbstractTreeMapTest","AbstractTreeMapTest","0/6"
"org.apache.commons.collections4.ArrayStackTest","ArrayStackTest","0/15"
